capa,cabeza,bits,ratio_q2,veredicto
20,0,4,1.0184236860132347,cerca
20,0,8,1.0196806270093997,cerca
20,1,4,1.0262377640571851,cerca
20,1,8,1.0255211929031867,cerca
20,2,4,1.029223393087491,cerca
20,2,8,1.0255064648161643,cerca
20,3,4,1.024666617423202,cerca
20,3,8,1.0218371205260193,cerca
20,4,4,1.0195862916873806,cerca
20,4,8,1.025262482620216,cerca
20,5,4,1.0025502223547393,cerca
20,5,8,1.0021303861679312,cerca
20,6,4,1.008256661312715,cerca
20,6,8,1.0091743174525,cerca
20,7,4,1.0219543208988908,cerca
20,7,8,1.02762584917159,cerca
20,8,4,1.0096182551131874,cerca
20,8,8,1.009381274025474,cerca
20,9,4,1.0146328270828457,cerca
20,9,8,1.0109655502487584,cerca
20,10,4,1.0110910437509921,cerca
20,10,8,1.0141218033283794,cerca
20,11,4,1.0159249479995878,cerca
20,11,8,1.0107315244507957,cerca
20,12,4,1.005065011789452,cerca
20,12,8,1.0057701808757253,cerca
20,13,4,1.0204043753150218,cerca
20,13,8,1.0205228310907515,cerca
20,14,4,0.9833549380331181,cerca
20,14,8,0.9844466513303028,cerca
20,15,4,1.020869839226651,cerca
20,15,8,1.023349944760195,cerca
21,0,4,1.0252028537188789,cerca
21,0,8,1.0236666468783944,cerca
21,1,4,1.0187806730067372,cerca
21,1,8,1.0110258990270873,cerca
21,2,4,1.0090905115295918,cerca
21,2,8,1.0042460337530243,cerca
21,3,4,1.0081618176813991,cerca
21,3,8,1.0108852629954732,cerca
21,4,4,1.0193961210273235,cerca
21,4,8,1.0207158072258793,cerca
21,5,4,1.0145863197341063,cerca
21,5,8,1.013098264259099,cerca
21,6,4,1.036905672915025,cerca
21,6,8,1.0358133284605582,cerca
21,7,4,1.0413074271074576,cerca
21,7,8,1.0413128459151089,cerca
21,8,4,1.0038423344668943,cerca
21,8,8,1.0022419556864104,cerca
21,9,4,1.037841967320685,cerca
21,9,8,1.0431506783859932,cerca
21,10,4,1.0162738313589346,cerca
21,10,8,1.0167428972589594,cerca
21,11,4,1.0141256066124817,cerca
21,11,8,1.0086304174801477,cerca
21,12,4,0.9839876648933997,cerca
21,12,8,0.9809511821086483,cerca
21,13,4,1.0356466959128037,cerca
21,13,8,1.0351951642182888,cerca
21,14,4,1.048818841325325,cerca
21,14,8,1.0468286256408847,cerca
21,15,4,1.0165188801120002,cerca
21,15,8,1.0140595282905038,cerca
22,0,4,1.0287989051722877,cerca
22,0,8,1.0326421079951802,cerca
22,1,4,1.0254409603678114,cerca
22,1,8,1.0322162857342643,cerca
22,2,4,1.0010798287144993,cerca
22,2,8,1.0061982943775254,cerca
22,3,4,1.0198499607766571,cerca
22,3,8,1.0205240794716584,cerca
22,4,4,0.997143819193834,cerca
22,4,8,0.9993128532072305,cerca
22,5,4,1.0218541809154391,cerca
22,5,8,1.0269844064910196,cerca
22,6,4,1.0348461563391138,cerca
22,6,8,1.0313247270276433,cerca
22,7,4,1.0108692702250066,cerca
22,7,8,1.0192969133795315,cerca
22,8,4,1.024404445633479,cerca
22,8,8,1.0205948065093597,cerca
22,9,4,1.0310942929425446,cerca
22,9,8,1.024218512000097,cerca
22,10,4,1.0249495677321072,cerca
22,10,8,1.0215862407167664,cerca
22,11,4,1.0208253330219907,cerca
22,11,8,1.0196214343325563,cerca
22,12,4,1.014626825162007,cerca
22,12,8,1.0103779857719588,cerca
22,13,4,1.0293592488816874,cerca
22,13,8,1.0329909713685086,cerca
